-0.28, 0.18, 0.17, 0.34, 2.04, 0.76, 0.07 
-0.26, 0.31, -0.92, 0.68, 2.9, 0.76, 0.09
-1.38, 0.07, -2.31, 0.18, 3.9672, 0.19, 0.02
-0.27, 0.07, -0.49, 0.10, 2.6145, 0.76, 0.06
-0.69, 0.18, -0.24, 0.80, 2.45, 0.59, 0.06
-0.69, 0.06, -0.51, 0.17, 1.9685, 0.59, 0.04
0.30, 0.07, 0.41, 0.11, 3.567, 0.95, 0.07
-0.47, 0.07, -0.34, 0.25, 2.737, 0.68, 0.05 
#-1.7, 0.07, -2.37, 0.16, 2.1071, 0.00, 0.01
-0.31, 0.22, -0.88, 0.33, 4.667, 0.74, 0.07
-1.58, 0.06, -1.83, 0.16, 4.99, 0.05, 0.01
-0.14, 0.11, -0.79, 0.42, 1.7285, 0.80, 0.06
-0.98, 0.05, -1.23, 0.08, 2.8145, 0.44, 0.03
0.11, 0.16, -0.23, 0.55, 2.487, 0.88, 0.08
-0.20, 0.07, -0.98, 0.22, 2.358, 0.78, 0.06
0.01, 0.17, -0.46, 0.36, 3.929, 0.85, 0.07
-0.34, 0.06, -0.54, 0.18, 2.3, 0.73, 0.05
-0.91, 0.06, -1.30, 0.19, 3.7579, 0.48, 0.04
-0.18, 0.17, -0.50, 0.38, 2.333, 0.79, 0.07
