id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qpah,qpah_err,gamma,gamma_err,red_chi2
ESO358-051,7.721E-02,1.260E-02,7.011E+08,2.648E+08,1.399E+09,6.996E+07,1.096E+09,9.640E+07,3.035E+08,4.954E+07,1.459E+08,2.466E+08,1.072,0.116,0.217,0.044,1.151E+06,2.296E+05,3.856E+08,2.737E+07,2.144,0.608,20.780,0.983,2.937,0.679,0.009,0.004,0.220
ESO358-054,1.051E-01,1.082E-02,6.979E+08,2.366E+08,1.458E+09,7.289E+07,1.045E+09,8.752E+07,4.132E+08,4.251E+07,9.842E+07,1.293E+08,0.357,0.064,0.073,0.024,3.163E+06,1.440E+06,2.010E+08,3.449E+07,0.472,0.260,16.150,1.479,1.304,0.743,0.010,0.008,0.607
ESO358-056,8.552E-03,6.609E-03,8.016E+08,2.354E+08,6.652E+08,3.421E+07,6.316E+08,4.789E+07,3.361E+07,2.597E+07,7.992E+07,4.234E+07,0.720,0.422,0.159,0.095,7.678E+04,1.061E+05,7.559E+07,4.105E+07,15.719,14.680,28.964,4.508,2.350,1.802,0.015,0.060,0.936
ESO358-059,3.102E-03,2.815E-03,4.484E+09,8.474E+08,2.302E+09,1.151E+08,2.290E+09,1.145E+08,1.219E+07,1.106E+07,6.165E+07,1.713E+06,0.068,0.085,0.013,0.016,7.288E+04,1.649E+05,1.584E+07,1.886E+07,10.242,14.511,26.968,6.368,3.365,2.182,0.055,0.118,0.340
ESO358-060,2.892E-02,2.351E-03,6.243E+07,4.246E+07,2.619E+08,2.951E+07,1.482E+08,3.574E+07,1.137E+08,9.238E+06,8.847E+05,4.898E+06,0.068,0.067,0.016,0.017,7.302E+04,1.586E+05,1.079E+07,1.070E+07,9.613,14.456,26.685,6.688,3.770,2.169,0.065,0.127,0.561
ESO358-063,4.774E-01,1.904E-01,8.272E+09,2.496E+09,1.221E+10,6.107E+08,1.034E+10,9.610E+08,1.876E+09,7.481E+08,3.019E+09,1.467E+09,2.474,0.354,0.613,0.090,1.990E+07,3.177E+06,5.041E+09,4.598E+08,1.630,0.414,19.853,0.840,4.697,0.903,0.006,0.004,0.459
ESO358-066,2.192E-03,2.539E-03,7.427E+08,2.424E+08,4.461E+08,3.062E+07,4.375E+08,3.033E+07,8.613E+06,9.978E+06,6.871E+07,2.195E+07,0.434,0.527,0.098,0.123,9.483E+04,1.944E+05,2.458E+07,2.750E+07,10.210,14.437,26.954,6.352,3.644,2.162,0.063,0.125,0.081
ESO359-002,2.183E-02,1.826E-02,1.430E+09,5.579E+08,1.559E+09,1.894E+08,1.473E+09,2.275E+08,8.578E+07,7.175E+07,5.901E+08,1.329E+08,0.237,0.301,0.052,0.070,1.611E+05,3.600E+05,7.346E+07,1.022E+08,12.325,15.871,27.813,5.969,3.698,2.193,0.106,0.158,1.516
ESO373-008,8.235E-01,9.915E-01,3.067E+09,1.553E+09,8.538E+09,5.905E+09,5.302E+09,2.049E+09,3.236E+09,3.897E+09,2.640E+08,1.287E+09,1.711,1.906,0.420,0.494,1.282E+07,1.626E+06,1.483E+09,1.171E+08,0.727,0.150,17.354,0.598,2.638,0.846,0.008,0.004,0.281
ESO377-039,1.132E-01,4.843E-02,2.830E+09,1.084E+09,3.898E+09,2.769E+08,3.453E+09,3.996E+08,4.449E+08,1.903E+08,1.708E+08,1.544E+08,0.313,0.186,0.065,0.043,5.465E+06,4.170E+06,3.050E+08,1.975E+08,1.437,4.581,19.440,10.330,3.186,2.053,0.015,0.044,0.232
