id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lyoung_abs__Lsol,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qpah,qpah_err,gamma,gamma_err,red_chi2
NGC1705,8.125E-02,5.666E-03,2.523E+08,8.720E+07,7.927E+08,3.964E+07,4.734E+08,3.746E+07,3.193E+08,2.227E+07,2.509E+07,6.491E+07,0.222,0.028,0.050,0.017,1.835E+05,7.288E+04,9.212E+07,8.330E+06,3.417,1.873,22.459,2.052,1.017,0.540,0.013,0.004,0.438
NGC1800,5.802E-02,8.326E-03,5.042E+08,2.092E+08,1.003E+09,5.073E+07,7.747E+08,7.670E+07,2.280E+08,3.272E+07,5.362E+07,1.161E+08,0.534,0.059,0.105,0.029,5.018E+05,8.540E+04,1.691E+08,1.226E+07,2.114,0.528,20.732,0.864,1.893,0.283,0.009,0.003,0.503
NGC1808,5.321E+00,1.078E+00,3.801E+10,1.111E+10,7.313E+10,3.656E+09,5.221E+10,4.191E+09,2.091E+10,4.235E+09,2.608E+10,2.342E+10,4.109,0.296,1.277,0.127,3.915E+07,2.276E+06,4.789E+10,2.395E+09,5.766,0.744,24.505,0.527,1.434,0.511,0.034,0.009,1.058
NGC1924,2.125E+00,9.367E-01,1.753E+10,5.417E+09,3.192E+10,3.394E+09,2.356E+10,1.615E+09,8.351E+09,3.681E+09,3.841E+09,8.537E+09,2.059,0.876,0.441,0.183,2.660E+07,3.801E+06,1.286E+10,8.760E+08,2.572,0.733,21.420,1.017,2.213,0.646,0.024,0.008,0.224
NGC2110,5.601E-01,9.700E-01,1.943E+11,7.393E+10,1.078E+11,1.621E+10,1.056E+11,1.414E+10,2.201E+09,3.812E+09,2.051E+10,3.587E+01,1.643,0.786,0.426,0.177,1.317E+07,3.495E+06,1.953E+10,2.308E+09,5.342,2.473,24.196,1.867,5.818,1.295,0.095,0.082,0.800
NGC2146,3.356E+01,1.120E+01,1.208E+11,3.373E+10,3.497E+11,5.962E+10,2.178E+11,1.955E+10,1.319E+11,4.403E+10,1.303E+11,9.634E+10,4.695,0.742,1.490,0.211,1.670E+08,2.374E+07,2.587E+11,6.273E+10,8.548,4.634,26.168,2.364,1.971,0.472,0.028,0.007,2.073
NGC2207,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC2273,1.429E+00,6.787E-01,6.052E+10,1.533E+10,5.169E+10,2.584E+09,4.607E+10,2.992E+09,5.618E+09,2.668E+09,9.902E+09,8.643E+09,2.464,0.426,0.587,0.087,3.961E+07,1.500E+07,1.771E+10,2.007E+09,1.604,0.996,19.800,2.048,1.355,0.360,0.118,0.090,0.962
NGC2403,7.239E-01,5.348E-02,3.124E+09,5.600E+08,1.041E+10,5.205E+08,7.564E+09,3.782E+08,2.845E+09,2.102E+08,1.436E+09,1.810E+09,1.021,0.123,0.213,0.040,1.097E+07,1.645E+06,3.198E+09,2.715E+08,1.865,0.361,20.303,0.655,2.572,0.566,0.007,0.003,1.271
NGC2480,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC2481,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC2549,2.107E-03,1.382E-03,1.848E+10,1.779E+09,8.489E+09,4.244E+08,8.480E+09,4.240E+08,8.281E+06,5.430E+06,9.136E+07,4.402E+06,0.086,0.045,0.019,0.007,9.947E+05,7.670E+05,7.515E+07,2.817E+07,1.071,2.235,18.509,6.438,1.298,1.171,0.008,0.016,0.391
NGC2577,7.874E-03,9.534E-03,7.488E+10,9.382E+09,3.083E+10,1.541E+09,3.079E+10,1.540E+09,3.095E+07,3.747E+07,6.269E+08,8.894E+06,0.150,0.098,0.034,0.017,5.559E+05,8.766E+05,4.771E+08,2.412E+08,15.935,15.333,29.030,4.656,3.013,2.006,0.021,0.067,0.352
NGC2592,6.570E-03,4.159E-03,2.882E+10,2.010E+09,1.181E+10,5.904E+08,1.178E+10,5.891E+08,2.582E+07,1.635E+07,0.000E+00,0.000E+00,0.031,0.041,0.006,0.007,1.009E+05,2.975E+05,3.217E+07,4.138E+07,11.503,15.456,27.495,6.157,3.733,2.181,0.076,0.136,0.450
NGC2655,7.662E-02,1.870E-02,3.350E+10,2.650E+09,1.386E+10,6.932E+08,1.356E+10,6.781E+08,3.011E+08,7.349E+07,8.335E+08,1.214E+08,0.654,0.174,0.132,0.017,6.995E+06,1.437E+06,9.636E+08,9.410E+07,0.827,0.234,17.729,0.838,5.667,1.365,0.009,0.009,1.528
NGC2679,7.903E-03,3.398E-03,2.177E+10,2.923E+09,1.398E+10,6.988E+08,1.395E+10,6.973E+08,3.106E+07,1.335E+07,9.360E+07,2.744E+06,0.053,0.050,0.010,0.009,2.579E+05,5.575E+05,7.195E+07,6.500E+07,9.386,13.960,26.578,6.589,4.051,2.167,0.110,0.160,0.776
NGC2685,8.239E-02,2.660E-02,1.174E+10,1.943E+09,8.490E+09,4.245E+08,8.166E+09,4.083E+08,3.238E+08,1.046E+08,4.476E+08,2.740E+08,0.742,0.155,0.137,0.023,9.806E+06,1.900E+06,7.815E+08,6.665E+07,0.460,0.122,16.077,0.714,6.348,0.846,0.010,0.007,0.764
NGC2764,1.818E+00,4.803E-01,1.324E+10,3.053E+09,3.175E+10,1.711E+09,2.460E+10,1.447E+09,7.145E+09,1.888E+09,1.102E+10,7.007E+09,3.587,0.376,0.811,0.105,3.070E+07,4.583E+06,1.710E+10,1.767E+09,3.118,0.863,22.118,1.020,3.105,0.668,0.020,0.007,0.454
NGC2768,2.938E-02,1.636E-02,1.566E+11,3.087E+10,7.283E+10,3.642E+09,7.272E+10,3.636E+09,1.155E+08,6.430E+07,5.417E+08,5.094E+06,0.073,0.032,0.015,0.004,2.480E+05,1.849E+05,5.219E+08,1.192E+08,20.599,13.689,30.299,3.356,4.579,1.967,0.005,0.009,1.663
NGC2778,1.165E-02,5.850E-03,1.657E+10,2.125E+09,7.082E+09,3.541E+08,7.036E+09,3.518E+08,4.579E+07,2.299E+07,1.817E+08,6.358E+07,0.065,0.086,0.011,0.015,7.477E+04,1.681E+05,4.112E+07,5.344E+07,12.166,15.095,27.753,5.739,2.906,2.161,0.055,0.118,0.550
NGC2787,2.489E-03,2.464E-03,1.555E+10,1.842E+09,6.176E+09,3.088E+08,6.167E+09,3.083E+08,9.781E+06,9.685E+06,5.932E+07,4.360E+06,0.083,0.046,0.018,0.008,5.692E+04,1.162E+05,5.138E+07,2.096E+07,17.140,14.466,29.385,4.133,2.787,1.780,0.004,0.027,1.229
NGC2798,4.963E+00,3.615E-01,1.316E+10,3.102E+09,4.830E+10,2.415E+09,2.879E+10,1.440E+09,1.950E+10,1.421E+09,1.685E+10,1.726E+10,4.552,0.228,1.143,0.070,1.668E+07,8.339E+05,3.461E+10,1.731E+09,10.027,0.501,26.873,0.224,1.150,0.138,0.031,0.002,1.229
NGC2799,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC2841,1.186E+00,3.244E-01,1.951E+11,2.781E+10,1.033E+11,5.164E+09,9.862E+10,4.931E+09,4.662E+09,1.275E+09,1.248E+10,1.795E+09,1.069,0.250,0.233,0.033,1.178E+08,1.547E+07,1.403E+10,1.051E+09,0.767,0.132,17.507,0.502,4.958,1.315,0.003,0.003,0.225
NGC2853,2.705E-01,2.924E-02,3.518E+09,9.373E+08,4.386E+09,2.193E+08,3.323E+09,1.661E+08,1.063E+09,1.149E+08,3.241E+08,7.076E+08,0.813,0.088,0.175,0.051,8.212E+06,2.200E+06,1.021E+09,1.013E+08,0.844,0.280,17.790,0.982,4.664,1.093,0.005,0.005,0.290
NGC2859,2.301E-02,1.428E-02,7.519E+10,7.630E+09,3.086E+10,1.543E+09,3.077E+10,1.538E+09,9.043E+07,5.611E+07,8.152E+08,1.664E+07,0.260,0.106,0.055,0.009,1.100E+07,5.780E+06,7.876E+08,1.223E+08,0.554,0.437,16.587,2.177,4.505,1.832,0.010,0.015,0.518
NGC2907,5.832E-02,4.221E-02,1.074E+11,1.742E+10,4.418E+10,2.209E+09,4.395E+10,2.198E+09,2.292E+08,1.659E+08,1.770E+09,1.254E+08,0.437,0.167,0.090,0.015,1.773E+07,6.032E+06,1.835E+09,2.288E+08,0.638,0.272,16.980,1.206,3.483,1.807,0.018,0.016,0.368
NGC2915,4.631E-02,4.365E-03,3.038E+08,1.016E+08,6.234E+08,3.117E+07,4.414E+08,3.165E+07,1.820E+08,1.716E+07,1.052E+07,4.097E+07,0.192,0.031,0.037,0.013,9.247E+04,4.821E+04,5.011E+07,6.671E+06,4.528,3.354,23.538,2.906,1.865,1.172,0.007,0.005,0.133
NGC2950,2.579E-02,5.295E-03,3.439E+10,1.839E+09,1.377E+10,6.884E+08,1.367E+10,6.833E+08,1.014E+08,2.081E+07,1.679E+08,1.430E+07,0.139,0.055,0.026,0.006,1.693E+06,1.096E+06,1.770E+08,3.587E+07,0.735,2.755,17.386,10.855,2.196,1.548,0.151,0.121,1.192
NGC2974,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC2976,1.269E-01,2.275E-02,1.000E+09,1.874E+08,2.437E+09,1.219E+08,1.939E+09,9.693E+07,4.987E+08,8.942E+07,3.271E+08,5.004E+08,1.518,0.134,0.275,0.056,2.645E+06,3.454E+05,7.953E+08,4.821E+07,1.839,0.322,20.255,0.591,3.164,0.538,0.010,0.004,0.766
NGC2992,2.720E+00,4.722E-01,6.263E+10,9.992E+09,6.146E+10,3.073E+09,5.077E+10,3.040E+09,1.069E+10,1.856E+09,1.484E+10,8.375E+09,1.983,0.141,0.600,0.040,3.209E+07,2.988E+06,2.399E+10,1.200E+09,3.617,0.623,22.673,0.651,2.685,0.367,0.032,0.004,1.334
NGC2993,5.612E+00,2.806E-01,4.885E+09,1.369E+09,4.290E+10,2.145E+09,2.085E+10,1.042E+09,2.206E+10,1.103E+09,1.000E+10,1.725E+10,1.963,0.125,0.536,0.085,1.340E+07,1.005E+06,2.722E+10,1.361E+09,9.951,0.816,26.839,0.367,1.758,0.196,0.031,0.003,3.828
NGC3031,3.411E-01,1.357E-01,4.535E+10,6.284E+09,3.860E+10,1.930E+09,3.726E+10,1.863E+09,1.340E+09,5.332E+08,2.640E+09,1.252E+09,0.664,0.166,0.166,0.019,2.780E+07,4.460E+06,4.091E+09,2.712E+08,0.960,0.206,18.175,0.650,3.681,0.615,0.006,0.003,1.703
NGC3034,4.654E+00,5.506E-01,1.456E+10,3.188E+09,4.778E+10,2.389E+09,2.948E+10,1.474E+09,1.829E+10,2.164E+09,1.502E+10,1.810E+10,4.739,0.244,1.039,0.118,2.049E+07,1.676E+06,3.280E+10,1.640E+09,6.021,0.623,24.683,0.425,1.849,0.301,0.062,0.007,3.542
NGC3049,6.246E-01,5.358E-02,3.345E+09,6.741E+08,7.483E+09,3.741E+08,5.028E+09,2.514E+08,2.455E+09,2.106E+08,1.006E+09,2.158E+09,1.648,0.100,0.295,0.048,8.460E+06,1.942E+06,3.141E+09,1.609E+08,1.767,0.462,20.122,0.876,1.788,0.275,0.037,0.012,0.998
NGC3073,2.747E-02,1.471E-02,7.084E+09,1.159E+09,7.868E+09,3.934E+08,7.760E+09,3.880E+08,1.079E+08,5.781E+07,6.525E+08,7.121E+07,0.530,0.168,0.116,0.029,2.179E+06,1.677E+06,6.137E+08,1.559E+08,3.351,4.186,22.386,4.661,4.123,1.653,0.004,0.008,0.398
NGC3077,1.506E-01,1.110E-01,2.341E+09,5.590E+08,3.887E+09,4.134E+08,3.295E+09,1.648E+08,5.921E+08,4.362E+08,4.473E+08,3.248E+08,0.969,0.389,0.194,0.086,1.766E+06,1.604E+05,7.515E+08,4.057E+07,2.044,0.324,20.616,0.544,2.450,0.675,0.030,0.003,0.822
NGC3079,5.929E+00,1.857E+00,3.992E+10,9.108E+09,7.393E+10,1.249E+10,5.063E+10,5.738E+09,2.330E+10,7.296E+09,2.422E+10,2.207E+10,2.940,0.324,0.938,0.137,8.607E+07,1.583E+07,4.480E+10,1.209E+10,3.613,2.114,22.669,2.211,3.267,1.038,0.007,0.005,0.623
NGC3081,6.565E-01,3.954E-01,2.491E+10,8.341E+09,2.901E+10,1.756E+09,2.643E+10,2.420E+09,2.580E+09,1.554E+09,4.001E+09,4.507E+09,2.071,0.347,0.486,0.088,2.276E+07,7.960E+06,8.996E+09,1.363E+09,1.012,1.668,18.337,5.035,1.652,0.435,0.259,0.136,0.610
NGC3147,7.438E+00,4.114E+00,1.665E+11,2.369E+10,3.947E+11,1.974E+10,3.655E+11,2.230E+10,2.923E+10,1.617E+10,8.881E+10,2.428E+10,1.592,0.254,0.407,0.060,5.239E+08,6.826E+07,1.191E+11,8.911E+09,1.415,0.359,19.390,0.819,5.296,0.956,0.007,0.004,0.733
NGC3155,1.165E+00,1.864E-01,1.237E+10,5.182E+09,1.884E+10,9.419E+08,1.426E+10,1.367E+09,4.579E+09,7.325E+08,3.413E+09,3.332E+09,1.222,0.133,0.312,0.075,3.996E+07,8.218E+06,6.175E+09,5.250E+08,1.028,0.275,18.384,0.821,4.645,0.931,0.005,0.004,0.217
NGC3182,2.695E-01,6.227E-02,3.725E+10,7.024E+09,2.261E+10,1.131E+09,2.155E+10,1.078E+09,1.059E+09,2.447E+08,9.690E+08,1.084E+09,0.650,0.165,0.115,0.024,4.948E+06,2.752E+06,1.818E+09,2.866E+08,2.932,2.572,21.893,3.201,3.437,1.434,0.017,0.016,0.508
NGC3184,1.553E+00,1.427E-01,1.715E+10,2.994E+09,2.888E+10,1.444E+09,2.277E+10,1.139E+09,6.105E+09,5.609E+08,4.128E+09,2.887E+09,0.994,0.142,0.217,0.040,4.504E+07,4.668E+06,7.407E+09,5.969E+08,0.923,0.195,18.056,0.636,1.070,0.221,0.015,0.003,4.462
NGC3185,2.951E-01,1.233E-01,1.712E+10,2.713E+09,1.609E+10,8.045E+08,1.493E+10,7.465E+08,1.160E+09,4.845E+08,3.199E+09,7.077E+08,1.519,0.306,0.353,0.064,1.751E+07,4.278E+06,3.739E+09,5.423E+08,1.246,0.516,18.984,1.309,3.418,0.629,0.020,0.008,0.550
NGC3187,1.393E+00,8.632E-02,6.592E+09,1.601E+09,1.603E+10,8.014E+08,1.055E+10,5.277E+08,5.474E+09,3.392E+08,2.111E+09,3.682E+09,1.085,0.099,0.235,0.043,4.585E+07,7.560E+06,5.693E+09,3.592E+08,0.782,0.165,17.566,0.618,2.890,0.404,0.008,0.003,0.269
NGC3190,8.412E-02,8.560E-02,9.104E+10,1.736E+10,5.492E+10,2.746E+09,5.459E+10,2.730E+09,3.306E+08,3.364E+08,9.612E+09,2.735E+08,1.820,0.488,0.423,0.030,3.463E+07,5.018E+06,9.917E+09,6.480E+08,1.892,0.293,20.351,0.525,2.968,0.404,0.004,0.002,1.018
NGC3193,3.556E-02,2.874E-02,2.005E+11,1.667E+10,8.236E+10,4.118E+09,8.222E+10,4.111E+09,1.398E+08,1.130E+08,2.605E+09,2.115E+07,0.241,0.130,0.050,0.020,9.476E+05,9.031E+05,1.882E+09,7.456E+08,21.573,15.279,30.533,3.604,0.583,0.662,0.004,0.029,4.702
NGC3198,1.688E+00,2.032E-01,1.563E+10,4.452E+09,2.532E+10,1.266E+09,1.869E+10,9.345E+08,6.636E+09,7.986E+08,2.476E+09,5.654E+09,1.166,0.112,0.230,0.054,4.343E+07,5.943E+06,7.803E+09,5.183E+08,1.023,0.199,18.368,0.597,3.325,0.695,0.016,0.002,0.457
NGC3226,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC3227,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC3245A,8.581E-02,2.001E-02,3.106E+09,8.171E+08,3.171E+09,1.585E+08,2.833E+09,1.417E+08,3.373E+08,7.864E+07,2.534E+08,1.914E+08,0.662,0.139,0.137,0.037,1.499E+07,6.086E+06,4.217E+08,7.046E+07,0.211,0.134,14.122,1.492,3.747,1.809,0.008,0.010,0.706
NGC3252,2.469E-01,8.292E-02,4.106E+09,1.169E+09,5.846E+09,2.923E+08,4.876E+09,4.726E+08,9.703E+08,3.259E+08,9.038E+08,9.286E+08,1.473,0.207,0.340,0.068,1.002E+07,2.431E+06,1.791E+09,1.456E+08,1.170,0.374,18.784,1.001,4.080,1.052,0.008,0.005,0.268
NGC3254,1.728E+00,1.715E-01,4.824E+10,7.338E+09,4.661E+10,2.331E+09,3.982E+10,1.991E+09,6.791E+09,6.742E+08,3.752E+09,3.544E+09,0.725,0.101,0.131,0.027,9.633E+07,1.123E+07,7.120E+09,4.125E+08,0.484,0.070,16.214,0.390,4.263,0.564,0.004,0.002,0.313
NGC3256,6.142E+01,4.171E+00,2.735E+10,9.924E+09,4.428E+11,2.657E+10,2.014E+11,1.221E+10,2.414E+11,1.639E+10,1.324E+11,2.094E+11,4.510,0.379,1.174,0.184,1.652E+08,1.773E+07,3.615E+11,2.392E+10,10.850,2.294,27.228,0.960,1.441,0.325,0.031,0.002,1.072
NGC3277,1.328E-01,8.640E-02,2.830E+10,3.611E+09,2.247E+10,1.124E+09,2.195E+10,1.097E+09,5.217E+08,3.396E+08,1.558E+09,4.987E+08,0.700,0.168,0.146,0.025,7.263E+06,2.033E+06,2.064E+09,2.197E+08,1.959,0.684,20.470,1.192,4.798,1.143,0.004,0.005,0.319
NGC3283,3.830E+00,5.847E+00,1.597E+11,6.763E+10,1.357E+11,4.264E+10,1.206E+11,2.332E+10,1.505E+10,2.298E+10,7.087E+09,1.070E+09,0.427,0.316,0.096,0.070,3.400E+07,7.841E+06,7.398E+09,9.317E+08,1.513,0.451,19.607,0.975,3.561,1.333,0.003,0.003,0.242
NGC3287,2.523E-01,3.903E-02,1.834E+09,4.061E+08,4.414E+09,2.207E+08,3.423E+09,1.711E+08,9.915E+08,1.534E+08,9.279E+08,6.450E+08,1.286,0.143,0.332,0.064,7.349E+06,8.819E+05,1.498E+09,8.412E+07,1.191,0.207,18.842,0.545,3.525,0.846,0.013,0.005,0.482
NGC3294,4.079E+00,4.787E-01,4.198E+10,7.975E+09,7.061E+10,3.530E+09,5.458E+10,2.729E+09,1.603E+10,1.881E+09,1.666E+10,1.146E+10,1.982,0.123,0.454,0.053,8.364E+07,5.270E+06,2.840E+10,1.420E+09,1.995,0.128,20.533,0.220,3.678,0.838,0.012,0.004,0.402
NGC3301,5.229E-02,1.826E-02,3.764E+10,5.066E+09,2.396E+10,1.198E+09,2.376E+10,1.188E+09,2.055E+08,7.176E+07,9.155E+08,3.821E+07,0.320,0.126,0.063,0.011,7.231E+05,3.955E+05,7.791E+08,1.300E+08,8.303,6.380,26.041,3.335,3.097,1.769,0.021,0.031,0.843
NGC3338,2.359E+00,4.764E-01,1.567E+10,1.650E+09,4.590E+10,2.295E+09,3.663E+10,1.832E+09,9.271E+09,1.872E+09,7.557E+09,4.985E+09,1.027,0.136,0.216,0.044,9.768E+07,1.467E+07,1.251E+10,1.143E+09,0.817,0.214,17.693,0.771,5.579,0.980,0.004,0.003,3.176
NGC3346,1.054E+00,8.873E-02,1.081E+10,2.023E+09,1.934E+10,9.668E+08,1.519E+10,7.597E+08,4.144E+09,3.487E+08,1.968E+09,3.253E+09,1.099,0.096,0.211,0.039,3.676E+07,4.617E+06,5.211E+09,3.024E+08,0.839,0.168,17.773,0.594,5.159,1.105,0.010,0.006,0.334
NGC3348,2.137E-01,8.026E-02,2.110E+11,3.723E+10,8.426E+10,4.213E+09,8.342E+10,4.171E+09,8.397E+08,3.154E+08,0.000E+00,0.000E+00,0.026,0.041,0.004,0.007,1.527E+06,4.866E+06,1.902E+08,3.044E+08,9.473,14.404,26.619,6.746,3.637,2.189,0.068,0.131,1.561
NGC3351,1.026E+00,2.454E-01,2.826E+10,5.889E+09,2.812E+10,1.406E+09,2.409E+10,1.204E+09,4.031E+09,9.646E+08,3.754E+09,3.962E+09,1.610,0.207,0.340,0.070,2.233E+07,1.995E+06,7.749E+09,5.554E+08,1.921,0.375,20.403,0.664,2.633,0.656,0.018,0.005,0.473
NGC3353,1.061E+00,5.306E-02,1.313E+09,3.923E+08,9.082E+09,4.541E+08,4.912E+09,2.456E+08,4.171E+09,2.085E+08,1.371E+09,3.496E+09,1.680,0.084,0.321,0.036,3.101E+06,4.846E+05,4.878E+09,2.439E+08,5.825,0.773,24.547,0.543,0.479,0.075,0.063,0.003,1.373
NGC3364,1.636E+00,2.095E-01,1.986E+10,7.639E+09,2.526E+10,1.263E+09,1.883E+10,1.612E+09,6.430E+09,8.235E+08,2.471E+09,5.416E+09,1.219,0.114,0.281,0.072,3.450E+07,5.835E+06,8.077E+09,5.740E+08,1.438,0.388,19.443,0.874,3.746,0.845,0.011,0.005,0.447
NGC3370,3.037E+00,2.911E-01,1.504E+10,3.342E+09,3.629E+10,1.814E+09,2.435E+10,1.218E+09,1.194E+10,1.144E+09,5.183E+09,1.062E+10,1.512,0.160,0.307,0.054,5.394E+07,7.159E+06,1.504E+10,1.305E+09,1.714,0.392,20.019,0.764,3.973,0.395,0.011,0.004,0.584
NGC3380,1.987E-02,4.764E-03,7.353E+08,1.279E+08,7.415E+08,3.708E+07,6.634E+08,3.317E+07,7.811E+07,1.872E+07,8.277E+07,5.445E+07,0.966,0.164,0.210,0.043,5.500E+05,1.247E+05,1.320E+08,1.161E+07,1.466,0.459,19.505,1.017,3.646,0.939,0.014,0.006,0.458
NGC3381,1.192E+00,1.310E-01,5.571E+09,1.395E+09,1.671E+10,8.356E+08,1.203E+10,6.013E+08,4.686E+09,5.147E+08,2.253E+09,2.841E+09,1.008,0.131,0.207,0.045,2.041E+07,4.096E+06,5.105E+09,5.629E+08,1.531,0.468,19.645,1.001,3.984,0.619,0.013,0.005,0.523
NGC3395,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC3396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
NGC3403,1.018E+00,1.027E-01,1.433E+10,4.173E+09,1.530E+10,7.648E+08,1.129E+10,7.323E+08,4.001E+09,4.034E+08,1.963E+09,2.579E+09,1.100,0.111,0.267,0.054,3.384E+07,7.520E+06,4.651E+09,3.763E+08,0.902,0.265,17.989,0.879,4.676,1.086,0.006,0.004,0.697
NGC3413,1.598E-01,3.941E-02,1.060E+09,1.138E+08,3.178E+09,1.589E+08,2.550E+09,1.275E+08,6.281E+08,1.549E+08,2.504E+08,6.189E+08,0.645,0.150,0.128,0.038,4.989E+06,2.454E+06,6.094E+08,1.546E+08,0.831,0.675,17.745,2.402,1.930,0.599,0.032,0.018,0.580
NGC3414,1.131E-01,1.197E-02,1.162E+11,7.418E+09,4.213E+10,2.107E+09,4.169E+10,2.084E+09,4.447E+08,4.706E+07,6.531E+08,3.878E+07,0.125,0.054,0.025,0.008,2.920E+06,4.081E+06,5.357E+08,1.609E+08,5.896,10.792,24.597,7.504,4.552,2.044,0.094,0.131,0.606
NGC3424,2.961E+00,5.522E-01,2.416E+10,6.191E+09,4.166E+10,2.516E+09,3.002E+10,1.671E+09,1.164E+10,2.170E+09,1.305E+10,9.106E+09,3.258,0.286,0.945,0.087,5.528E+07,7.284E+06,2.433E+10,2.727E+09,2.649,0.789,21.526,1.069,3.213,0.316,0.013,0.004,0.530
NGC3430,3.351E+00,4.365E-01,2.536E+10,6.452E+09,4.720E+10,2.360E+09,3.403E+10,1.701E+09,1.317E+10,1.716E+09,6.609E+09,1.241E+10,1.431,0.174,0.330,0.067,6.660E+07,1.111E+07,1.780E+10,1.643E+09,1.683,0.400,19.958,0.791,3.703,0.503,0.009,0.003,0.424
NGC3437,5.683E+00,6.207E-01,2.365E+10,5.726E+09,6.108E+10,3.054E+09,3.875E+10,1.937E+09,2.234E+10,2.440E+09,1.509E+10,2.306E+10,2.745,0.137,0.698,0.081,4.020E+07,6.955E+06,3.630E+10,2.475E+09,5.341,1.109,24.195,0.837,2.910,0.419,0.015,0.004,0.590
NGC3440,8.548E-01,5.468E-02,2.912E+09,7.493E+08,1.089E+10,5.445E+08,7.530E+09,3.765E+08,3.360E+09,2.149E+08,1.084E+09,1.658E+09,0.710,0.081,0.134,0.033,1.228E+07,2.824E+06,2.754E+09,2.226E+08,1.440,0.412,19.447,0.927,1.114,0.088,0.008,0.002,0.741
NGC3445,9.873E-01,4.937E-02,1.966E+09,2.198E+08,9.584E+09,4.792E+08,5.703E+09,2.852E+08,3.880E+09,1.940E+08,9.449E+08,2.198E+09,0.817,0.064,0.147,0.026,5.359E+06,9.181E+05,3.133E+09,1.567E+08,3.352,0.453,22.388,0.504,1.919,0.295,0.015,0.002,1.095
NGC3448,2.302E+00,1.909E-01,8.069E+09,1.858E+09,2.482E+10,1.241E+09,1.577E+10,7.886E+08,9.046E+09,7.504E+08,4.339E+09,7.247E+09,1.655,0.105,0.315,0.055,1.892E+07,1.836E+06,1.136E+10,5.679E+08,3.325,0.483,22.357,0.541,1.777,0.089,0.018,0.005,0.542
NGC3454,1.545E-01,3.529E-02,4.006E+09,8.543E+08,4.338E+09,2.169E+08,3.731E+09,1.865E+08,6.072E+08,1.387E+08,7.188E+08,4.974E+08,1.456,0.177,0.336,0.059,1.266E+07,2.741E+06,1.193E+09,7.742E+07,0.540,0.165,16.513,0.842,4.377,1.322,0.016,0.010,0.866
NGC3455,9.642E-01,7.214E-02,3.681E+09,1.028E+09,1.217E+10,6.086E+08,8.384E+09,4.192E+08,3.789E+09,2.835E+08,8.496E+08,2.590E+09,0.888,0.069,0.159,0.044,2.181E+07,3.599E+06,3.542E+09,2.182E+08,0.997,0.225,18.292,0.688,3.000,0.692,0.010,0.005,0.462
NGC3458,2.318E-03,1.785E-03,2.906E+10,2.180E+09,1.334E+10,6.670E+08,1.333E+10,6.666E+08,9.111E+06,7.014E+06,3.256E+07,2.899E+05,0.030,0.022,0.006,0.004,1.219E+05,2.991E+05,3.871E+07,2.691E+07,11.532,15.705,27.506,6.243,3.747,2.162,0.145,0.171,0.539
NGC3485,1.125E+00,2.124E-01,9.824E+09,2.421E+09,2.015E+10,1.181E+09,1.573E+10,7.864E+08,4.422E+09,8.347E+08,2.414E+09,3.087E+09,1.019,0.186,0.199,0.056,2.631E+07,8.499E+06,5.333E+09,1.197E+09,1.366,0.955,19.276,2.247,4.679,1.322,0.016,0.010,0.968
NGC3488,9.286E-01,7.902E-02,9.112E+09,1.831E+09,1.680E+10,8.401E+08,1.315E+10,6.576E+08,3.649E+09,3.106E+08,2.459E+09,1.766E+09,0.985,0.133,0.220,0.040,3.080E+07,5.022E+06,4.399E+09,2.699E+08,0.922,0.194,18.053,0.635,4.662,0.609,0.006,0.003,0.251
